seed,method,prediction_rmse,prediction_mae,prediction_mape,prediction_r2,predicted_objective,decision_quality,regret
0,xgb_mse,7.179238073339351,3.4715258925976973,15.7043842579495,0.8881390159051032,26243.009868799865,26179.493484582385,3.978493039317982
0,xgb_weighted,8.199337878647205,5.372714009337087,114.38328403350629,0.8540918700253376,26243.007078590414,26180.859686768174,5.344695225106989
0,nn_mse,7.970741784630558,4.1806824200777895,24.479349771740083,0.8621142437503307,26278.43597395581,26181.424291569114,5.909300026047276
0,nn_spo,9.32761614684603,6.316157321590837,147.98077859205054,0.8111733640244057,26076.248011633572,26178.40447436899,2.889482825921732
1,xgb_mse,7.17686901555769,3.441699945181543,15.840487407614193,0.8882128291448804,26234.545927054107,26179.12022638566,3.6052348425946548
1,xgb_weighted,8.1585311354647,5.275685932577096,109.84040160923219,0.8555405771167561,26234.15567321144,26179.181339773648,3.6663482305812067
1,nn_mse,7.495133745501344,3.813094059090959,18.20476252531375,0.8780783872308832,26235.720705521915,26182.583752602142,7.068761059075769
1,nn_spo,9.741793268933558,6.587831820950807,163.25184745634132,0.7940320040990949,26082.500166034722,26179.56672066095,4.051729117883951
2,xgb_mse,7.1680567460603415,3.435582427188216,15.376686535132734,0.8884871810626117,26235.673501326255,26179.1317905933,3.6167990502326575
2,xgb_weighted,8.178280055524668,5.348411705223003,113.92697722356576,0.8548403602518483,26233.794036490133,26178.545602068716,3.0306105256495357
2,nn_mse,7.704014555234432,3.8512525294390207,21.940459085746923,0.8711880620272535,26089.066554069555,26177.93158957848,2.41659803541188
2,nn_spo,10.379639227716464,6.849047641504137,167.08780889952786,0.7661774231448687,26082.18020444873,26177.76516718711,2.2501756440433383
3,xgb_mse,7.141453818677137,3.4111681890250227,15.023228368846613,0.8893133638326567,26231.19714368187,26178.443928571458,2.928937028391374
3,xgb_weighted,7.997288535559075,5.063967345620147,98.42384309609545,0.8611942504839215,26235.200107472752,26179.947726385657,4.432734842590435
3,nn_mse,7.648017798487799,4.28099545676161,39.03238621042,0.8730538001086272,26240.818116601327,26180.420196786392,4.905205243325327
3,nn_spo,11.589528690730802,7.817285282859484,215.13708785801825,0.7084899883126594,26109.119404589346,26178.66364916732,3.1486576242532465
4,xgb_mse,7.147532946602612,3.399791663256304,14.847759133603578,0.8891248407027298,26230.932992388425,26179.522883489477,4.007891946410382
4,xgb_weighted,7.980395807893736,5.106352115422325,100.66611806869632,0.8617800318366358,26235.09661984126,26176.490854800948,0.9758632578814286
4,nn_mse,7.963917844069844,4.126084080837887,19.070948438407665,0.8623502372015043,26278.828199838004,26182.88954722874,7.37455568567384
4,nn_spo,10.322788120379613,7.383889221180153,190.92336941893652,0.7687317832487988,26281.396779276532,26185.216422391368,9.701430848301243
5,xgb_mse,7.168793390754234,3.4571982024249808,16.034468427621075,0.8884642600534108,26238.994238224037,26179.76639441843,4.2514028753648745
5,xgb_weighted,7.966013261908375,5.060902841959396,98.00175726007787,0.8622777925280259,26238.98736888252,26179.275752341942,3.760760798875708
5,nn_mse,7.5913295170000294,4.005589425929257,24.80361977570623,0.8749287151082449,26224.62539096198,26181.150154176445,5.635162633378059
5,nn_spo,9.671679636164543,6.430638938956557,155.81341256135107,0.7969861206680928,26156.987995471944,26177.484878024963,1.9698864818965376
6,xgb_mse,7.172956052378156,3.4499265670684514,15.61907498204304,0.8883346928261099,26240.62500176749,26179.347330210785,3.8323386677184317
6,xgb_weighted,7.936581580174341,5.02404334989493,96.41094319514502,0.8632935850184407,26232.234718577085,26178.67856654959,3.163575006525207
6,nn_mse,7.682278182435891,3.8959986198933723,19.377322137314117,0.8719139055238536,26191.69222586951,26179.161694964885,3.646703421818529
6,nn_spo,11.546060897201784,8.643496477991375,250.5947708120881,0.7106725679145209,26389.772218939466,26186.401310824895,10.886319281828037
7,xgb_mse,7.154413970066359,3.43153160812604,15.751621397414658,0.8889112560094041,26236.04857286457,26179.02401736928,3.509025826213474
7,xgb_weighted,8.020852073654709,5.0624542884614785,98.4475963957722,0.8603750795625327,26225.211312961586,26177.56895589385,2.0539643507836445
7,nn_mse,12.424305736895738,3.764130339585871,18.33569446088542,0.6649835094539305,26080.42661563876,26178.41251561281,2.8975240697436675
7,nn_spo,11.579206333105784,8.164820874839274,229.84281972918285,0.7090090310863788,26071.32977267583,26177.87959504292,2.3646034998528194
8,xgb_mse,7.1552490318374025,3.4126685358395012,15.382823152753797,0.8888853219839199,26232.137302538555,26178.705526932088,3.1905353890215338
8,xgb_weighted,8.348060799715835,5.398613752432664,115.65412053298012,0.8487507841302289,26234.74576278052,26177.350772833743,1.8357812906760955
8,nn_mse,7.75202891704471,3.7386505814028563,18.25566024351799,0.8695774482256704,25981.16133968992,26178.37340684362,2.858415300554043
8,nn_spo,11.568949557887823,8.213549370511764,253.74451451462696,0.7095243180571205,26117.456983400993,26177.97083300807,2.4558414650018676
9,xgb_mse,7.1647253204824475,3.466412994663344,15.687516358065931,0.8885908103563095,26243.931256154396,26180.074768735387,4.559777192320325
9,xgb_weighted,8.116193526384718,5.222248825956107,107.97727860412256,0.8570359927048868,26228.833813120535,26177.418033762704,1.9030422196374275
9,nn_mse,7.53961409145539,3.845326016075657,27.49031560360192,0.8766269902015046,26143.27849196752,26177.50172326307,1.9867317200041725
9,nn_spo,10.767895049797817,7.524668251220906,214.39119282789818,0.7483577538710258,26196.048036842374,26179.98625097583,4.471259432764782
10,xgb_mse,7.1591025976680775,3.4334532822509285,15.65296575772095,0.8887656048285786,26238.272178986885,26179.84011709603,4.3251255529648915
10,xgb_weighted,7.9905099586631385,5.064735012873177,98.56362643562913,0.8614294568747783,26240.51688902538,26179.73845042937,4.2234588863029785
10,nn_mse,7.828851606201046,4.179424475467628,20.68377844612435,0.8669796618919697,26249.6722725932,26183.727211163176,8.212219620108954
10,nn_spo,11.673188250818773,8.057537536448468,228.46176545787546,0.7042662409091506,26277.53502570472,26182.441798074444,6.926806531377224
11,xgb_mse,7.14918683645176,3.445428478058439,15.934826483881,0.8890735232711783,26241.41028247198,26179.45921545669,3.944223913622409
11,xgb_weighted,8.2146127189124,5.330772090291488,113.05711956693301,0.8535477286821987,26236.823507080084,26177.37456381734,1.8595722742720682
11,nn_mse,7.7161786587421854,3.822931463820556,17.420606201605157,0.8707809707026,26124.073996658335,26177.622917642468,2.1079260994010838
11,nn_spo,9.992334955290652,7.171798831128684,170.20051357813225,0.7833015063701139,26297.34364307405,26186.561333593563,11.046342050496605
12,xgb_mse,7.156022969236999,3.4245227502391313,15.281207515848678,0.8888612835597125,26233.884848295857,26179.976653981274,4.461662438206986
12,xgb_weighted,8.001293755927733,5.1004021966850175,100.14859139825592,0.8610551816412118,26231.533607031524,26179.213566549603,3.6985750065359753
12,nn_mse,7.659232413284448,4.161656921559214,36.33711491088308,0.8726812338958938,26217.12697642009,26201.9332965782,26.418305035134836
12,nn_spo,11.809954122574949,8.1256447175465,230.18918597551462,0.6972958702301078,26198.673395983373,26179.520681759037,4.0056902159703895
13,xgb_mse,7.154695641935979,3.438252966701203,15.584576466448958,0.8889025086290302,26244.06513422648,26178.8275009758,3.31250943273335
13,xgb_weighted,7.8977981610113925,4.904511637087691,90.00190823230247,0.8646263975731006,26230.68374206544,26177.277719555048,1.7627280119813804
13,nn_mse,7.67425280487655,3.878426108605224,18.157268225019912,0.8721813788747959,26234.817962900823,26180.29788576635,4.782894223284529
13,nn_spo,10.191753623083711,7.196884743502883,177.89950522774973,0.7745658231076865,26301.682642440817,26185.01732305493,9.502331511863304
14,xgb_mse,7.148348579106574,3.4167381289852448,15.208091751490615,0.889099534476279,26233.06098736447,26179.35963895396,3.8446474108932307
14,xgb_weighted,8.068852547356332,5.177224295769196,102.74562690645119,0.8586989193805529,26239.395412540456,26180.901394418448,5.386402875381464
14,nn_mse,8.192638605958377,4.639250028143098,32.57774349832502,0.8543302012272264,26388.67629332226,26186.45566321887,10.94067167580215
14,nn_spo,10.738916961302252,7.361720688997362,200.29547456367717,0.7497103486239098,26209.969460805278,26181.66889149104,6.153899947974423
15,xgb_mse,7.147195227310471,3.4235149383436787,15.29818496211889,0.8891353181068823,26243.320589879382,26180.0429654567,4.5279739136349235
15,xgb_weighted,8.19620200239991,5.395991188460881,115.98760349035987,0.8542034552166728,26243.623209406556,26180.653095238118,5.138103695051541
15,nn_mse,7.698653018522217,4.228025960397069,28.395051726000926,0.8713672905608312,26293.40106381736,26186.313751626356,10.79876008328938
15,nn_spo,10.930632851862773,7.828355291815143,227.45097045125826,0.74069401599661,26249.76441048942,26182.058717473352,6.543725930285291
16,xgb_mse,7.150949037576898,3.441394244426,15.79336999698951,0.8890188320572453,26235.691785036728,26179.42829332553,3.9133017824642593
16,xgb_weighted,8.319073463035851,5.4990627537046635,122.7927100653494,0.8497993390291292,26230.599680563635,26177.78950234195,2.274510798884876
16,nn_mse,8.01710762461125,4.119258489357847,25.496675470144037,0.8605054139357102,26267.26351100288,26182.29572274267,6.780731199603906
16,nn_spo,10.43922087559441,6.954688687503534,168.30346847243388,0.7634853219402457,26090.00195453009,26177.86008294301,2.3450913999440672
17,xgb_mse,7.1650437172275705,3.4404822271419353,15.412959714113805,0.8885809082009697,26234.90371229173,26179.793108899314,4.278117356247094
17,xgb_weighted,8.149489393220035,5.302569860425543,112.46905523068871,0.8558605957726219,26221.32472515743,26177.48487802499,1.9698864819220034
17,nn_mse,7.984167477344522,4.061344473981418,27.29799638039755,0.8616493507936711,26307.34803102495,26181.75424733284,6.239255789772869
17,nn_spo,11.4679950070421,7.940550023743624,239.8772163780637,0.7145717759324202,26076.90114310584,26178.076892401765,2.561900858698209
18,xgb_mse,7.140038773630013,3.4112425291613477,15.006307192776083,0.8893572235460604,26238.17649890902,26180.20967310698,4.694681563913036
18,xgb_weighted,7.969380007318514,5.026410888813626,94.01387849317527,0.8621613544608878,26234.508441747035,26177.728928571443,2.2139370283766766
18,nn_mse,8.143418258388456,4.515606313700494,36.03682967276207,0.8560752751855445,26342.377631117513,26186.02429026804,10.509298724973632
18,nn_spo,11.545625944806003,7.9376086009211875,223.53261832619546,0.7106943660481941,25986.074669157697,26178.378808873294,2.863817330227903
19,xgb_mse,7.213155757679386,3.4799209072591504,15.762475771828695,0.8870795642263619,26241.765737953203,26179.442166276367,3.9271747333004896
19,xgb_weighted,8.098564759324557,5.227437752111948,107.25095823125397,0.8576563677834088,26242.681252377854,26179.47560889933,3.9606173562642653
19,nn_mse,7.4316993343765425,3.629566621864803,18.895289539780467,0.880133399948381,26151.75956973396,26179.55611989333,4.041128350261715
19,nn_spo,11.110386730156739,7.5705837269731235,224.4200476960229,0.732095334260028,26082.75785107296,26178.059546578195,2.544555035128724
